id,name,state_id/id
kabupaten_id_369,Probolinggo,base.state_id_ji
kabupaten_id_370,Probolinggo,base.state_id_ji
kabupaten_id_371,Pulang Pisau,base.state_id_kt
kabupaten_id_372,Pulau Morotai,base.state_id_mu
kabupaten_id_373,Puncak,base.state_id_pa
kabupaten_id_374,Puncak Jaya,base.state_id_pa
kabupaten_id_375,Purbalingga,base.state_id_jt
kabupaten_id_376,Purwakarta,base.state_id_jb
kabupaten_id_377,Purworejo,base.state_id_jt
kabupaten_id_378,Raja Ampat,base.state_id_pb
kabupaten_id_379,Rejang Lebong,base.state_id_be
kabupaten_id_380,Rembang,base.state_id_jt
kabupaten_id_381,Rokan Hilir,base.state_id_ri
kabupaten_id_382,Rokan Hulu,base.state_id_ri
kabupaten_id_383,Rote Ndao,base.state_id_nt
kabupaten_id_384,Sabang,base.state_id_ac
kabupaten_id_385,Sabu Raijua,base.state_id_nt
kabupaten_id_386,Salatiga,base.state_id_jt
kabupaten_id_387,Samarinda,base.state_id_ki
kabupaten_id_388,Sambas,base.state_id_kb
kabupaten_id_389,Samosir,base.state_id_su
kabupaten_id_390,Sampang,base.state_id_ji
kabupaten_id_391,Sanggau,base.state_id_kb
kabupaten_id_392,Sarmi,base.state_id_pa
kabupaten_id_393,Sarolangun,base.state_id_ja
kabupaten_id_394,Sawah Lunto,base.state_id_sb
kabupaten_id_395,Sekadau,base.state_id_kb
kabupaten_id_396,Selayar (Kepulauan Selayar),base.state_id_sn
kabupaten_id_397,Seluma,base.state_id_be
kabupaten_id_398,Semarang,base.state_id_jt
kabupaten_id_399,Semarang,base.state_id_jt
kabupaten_id_400,Seram Bagian Barat,base.state_id_ma
kabupaten_id_401,Seram Bagian Timur,base.state_id_ma
kabupaten_id_402,Serang,base.state_id_bt
kabupaten_id_403,Serang,base.state_id_bt
kabupaten_id_404,Serdang Bedagai,base.state_id_su
kabupaten_id_405,Seruyan,base.state_id_kt
kabupaten_id_406,Siak,base.state_id_ri
kabupaten_id_407,Sibolga,base.state_id_su
kabupaten_id_408,Sidenreng Rappang/Rapang,base.state_id_sn
kabupaten_id_409,Sidoarjo,base.state_id_ji
kabupaten_id_410,Sigi,base.state_id_st
kabupaten_id_411,Sijunjung (Sawah Lunto Sijunjung),base.state_id_sb
kabupaten_id_412,Sikka,base.state_id_nt
kabupaten_id_413,Simalungun,base.state_id_su
kabupaten_id_414,Simeulue,base.state_id_ac
kabupaten_id_415,Singkawang,base.state_id_kb
kabupaten_id_416,Sinjai,base.state_id_sn
kabupaten_id_417,Sintang,base.state_id_kb
kabupaten_id_418,Situbondo,base.state_id_ji
kabupaten_id_419,Sleman,base.state_id_yo
kabupaten_id_420,Solok,base.state_id_sb
kabupaten_id_421,Solok,base.state_id_sb
kabupaten_id_422,Solok Selatan,base.state_id_sb
kabupaten_id_423,Soppeng,base.state_id_sn
kabupaten_id_424,Sorong,base.state_id_pb
kabupaten_id_425,Sorong,base.state_id_pb
kabupaten_id_426,Sorong Selatan,base.state_id_pb
kabupaten_id_427,Sragen,base.state_id_jt
kabupaten_id_428,Subang,base.state_id_jb
kabupaten_id_429,Subulussalam,base.state_id_ac
kabupaten_id_430,Sukabumi,base.state_id_jb
kabupaten_id_431,Sukabumi,base.state_id_jb
kabupaten_id_432,Sukamara,base.state_id_kt
kabupaten_id_433,Sukoharjo,base.state_id_jt
kabupaten_id_434,Sumba Barat,base.state_id_nt
kabupaten_id_435,Sumba Barat Daya,base.state_id_nt
kabupaten_id_436,Sumba Tengah,base.state_id_nt
kabupaten_id_437,Sumba Timur,base.state_id_nt
kabupaten_id_438,Sumbawa,base.state_id_nb
kabupaten_id_439,Sumbawa Barat,base.state_id_nb
kabupaten_id_440,Sumedang,base.state_id_jb
kabupaten_id_441,Sumenep,base.state_id_ji
kabupaten_id_442,Sungaipenuh,base.state_id_ja
kabupaten_id_443,Supiori,base.state_id_pa
kabupaten_id_444,Surabaya,base.state_id_ji
kabupaten_id_445,Surakarta (Solo),base.state_id_jt
kabupaten_id_446,Tabalong,base.state_id_ks
kabupaten_id_447,Tabanan,base.state_id_ba
kabupaten_id_448,Takalar,base.state_id_sn
kabupaten_id_449,Tambrauw,base.state_id_pb
kabupaten_id_450,Tana Tidung,base.state_id_ku
kabupaten_id_451,Tana Toraja,base.state_id_sn
kabupaten_id_452,Tanah Bumbu,base.state_id_ks
kabupaten_id_453,Tanah Datar,base.state_id_sb
kabupaten_id_454,Tanah Laut,base.state_id_ks
kabupaten_id_455,Tangerang,base.state_id_bt
kabupaten_id_456,Tangerang,base.state_id_bt
kabupaten_id_457,Tangerang Selatan,base.state_id_bt
kabupaten_id_458,Tanggamus,base.state_id_la
kabupaten_id_459,Tanjung Balai,base.state_id_su
kabupaten_id_460,Tanjung Jabung Barat,base.state_id_ja
kabupaten_id_461,Tanjung Jabung Timur,base.state_id_ja
kabupaten_id_462,Tanjung Pinang,base.state_id_kr
kabupaten_id_463,Tapanuli Selatan,base.state_id_su
kabupaten_id_464,Tapanuli Tengah,base.state_id_su
